ID,Project,District,Status,Status date,Actual completion or occupancy,Forecast completion or occupancy,Recorded construction,Geometry coverage,Caveat,Sources
tenth-data,Tenth Line data centre,Meadowvale / Lisgar,Temporarily paused under September 2026 interim control bylaw,2026-09-16,,,{},Latest geometry unavailable in source model,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Temporarily paused proposal; do not depict as approved or under construction. Retain only with that status visible.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/0-tenth-line-west-oz-25-21-w9/; https://www.datacenterdynamics.com/en/news/prologis-files-to-develop-data-center-outside-toronto-canada/; https://www.mississauga.ca/city-of-mississauga-news/news/mississauga-approves-temporary-pause-for-large-scale-data-centre-development/; https://ca.finance.yahoo.com/news/mississauga-ont-approves-one-data-180210299.html
hurontario-7140,7140 Hurontario industrial development,Gateway,Under review,2026-09-03,,,{},Latest geometry unavailable in source model,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. City URL names 2025 file numbers but page title names 2015 file numbers; project identity requires caution.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/7140-hurontario-street-21t-m-25-2-w5-and-oz-opa-25-9-w5/; https://www.mississauga.ca/wp-content/uploads/2025/12/01122050/Traffic-Impact-Study-OZ-OPA-25-9-W5-and-21T-M-25-2-W5-October-2025.pdf
dundas-55,51–55 Dundas West / Agnes Street,Cooksville,Under review,2026-01-29,,,{},plan-derived model,"July 2025 proposal, under review. Main dimensions and layered envelopes follow A110 and the planning schedule; balconies, facade divisions, ground recesses and exact parapets are omitted. Position is registered through four surveyed existing houses to unmodified City geometry (centroid fit residuals 0.14–0.25 m; allow ±1 m overall position). Plan outlines are traced, approximately ±0.25 m. Overall 110.445 m dimension is corroborated as 110.4 m in the planning schedule. The elevation absolute-level tags disagree by about 1.8 m with that dimension; this envelope follows the overall dimension, not those tags. A110 labels the western upper terrace as the 33-storey roof whereas the schedule labels 32: the drawn one-floor setback is shown, with its precise transition elevation unresolved. Existing heritage corner is retained; no existing meshes are altered by this asset.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/51-55-dundas-street-west-and-60-66-70-and-78-agnes-street-oz-opa-25-18-w7/; https://urbantoronto.ca/database/projects/55-dundas-street-west.58281; https://www.mississauga.ca/wp-content/uploads/2025/10/03105423/Survey-and-Context-Plan-OZ-OPA-25-18-W7-August-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/03105409/Site-Plan-OZ-OPA-25-18-W7-August-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/03105410/Site-Sections-South-and-East-OZ-OPA-25-18-W7-August-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/03105432/Floor-Plan-Roof-Plan-OZ-OPA-25-18-W7-August-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/03114154/Elevations-East-OZ-OPA-25-18-W7-August-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/03105351/Planning-Rationale-Report-and-Urban-Design-Block-Context-Plan-OZ-OPA-25-18-W7-August-2025.pdf; https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=82547
emtc-northwest,Erin Mills Town Centre — northwest phase,Erin Mills,Settlement accepted; subdivision under review,2026-09-04,,,{},Source geometry available; current detail may differ,"2026 vector-plan footprints replace all 17 older City source components. Published proposed ground-floor levels are used where provided. Revised metric roofs are not published: heights use the older elevations and documented 2.95 m typical floor interval, with retained podium and 5 m mechanical allowances explicitly estimated. Allow about ±5 m vertically and ±2 m placement. These are schematic envelopes without facade detail, not verified construction geometry.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/5100-erin-mills-parkway-oz-opa-24-15-w9/; https://urbantoronto.ca/forum/threads/toronto-erin-mills-town-centre-northwest-redevelopment-142-65m-44s-pemberton-bdp-quadrangle.41146/; https://www.mississauga.ca/wp-content/uploads/2025/01/02103938/oz-opa-24-15-w9-building-elevations-december-2024.pdf; https://www.mississauga.ca/wp-content/uploads/2025/01/02103955/oz-opa-24-15-w9-development-master-plan-december-2024.pdf; https://www.mississauga.ca/wp-content/uploads/2025/01/08114537/oz-opa-24-15-w9-A100-Site-Plan-december-2024.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/25141740/Cover-Letter-21T-M-26-3-W9-August-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/25141742/Draft-Plan-of-Subdivision-21T-M-26-3-W9-August-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/25141752/Phasing-Concept-Plan-21T-M-26-3-W9-August-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/25141804/Site-Plan-21T-M-26-3-W9-August-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/25141749/Grading-Plan-Phase-1-4-21T-M-26-3-W9-August-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/25141750/Grading-Plan-Phase-5-21T-M-26-3-W9-August-2026.pdf
tannery-51,51–57 Tannery Street / 208 Emby Drive,Streetsville,Appealed,2025-10-14,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Storeys array gives the documented range, not an inferred tower-by-tower distribution.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/51-and-57-tannery-street-and-208-emby-drive-oz-opa-24-7-w11/; https://urbantoronto.ca/forum/threads/toronto-51-57-tannery-49-75m-14s-montcrest-srm-architects.30869/
thomas-64,64–66 Thomas / Joymar / Tannery,Streetsville,Appealed,2026-01-20,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/64-66-thomas-street-95-joymar-drive-and-65-tannery-street/; https://urbantoronto.ca/database/projects/64-thomas-street.48195
rutledge-150,150 Rutledge Road,Streetsville,Under review,2025-10-14,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/150-rutledge-road-oz-opa-24-12-w11/; https://urbantoronto.ca/database/projects/150-rutledge-road.57253
dundas-3033,3033 Dundas Street West,Erin Mills,Under review,2026-06-08,,,{},Latest geometry unavailable in source model,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/3033-dundas-street-west-oz-opa-25-11-w8/; https://urbantoronto.ca/forum/threads/toronto-3033-dundas-street-west-47-8m-12s-2504228-ontario-inc-hout.27247/
streetsville-centre,Streetsville Centre plaza redevelopment,Streetsville,Appealed,2025-10-14,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/120-128-142-154-158-queen-street-south-and-169-crumbie-street-oz-opa-24-8-w11-and-21t-m-24-4-w11/; https://urbantoronto.ca/forum/threads/toronto-streetsville-centre-plaza-redevelopment-60-6m-15s-dezen-srm-architects.13599/page-3
erin-centre-2555,2555 Erin Centre Boulevard,Erin Mills,Under review,2025-10-10,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2555-erin-centre-boulevard-oz-opa-25-6-w11/; https://urbantoronto.ca/database/projects/2555-erin-centre-boulevard.58240
fieldgate-3403,Forest Glen plaza / 3403–3445 Fieldgate,Applewood / Rathwood,Under review,2025-09-15,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/3403-to-3445-fieldgate-drive-oz-opa-25-1-w3/; https://urbantoronto.ca/news/2024/12/trio-towers-proposed-replace-plaza-fieldgate-and-bloor-mississauga.57552
dundas-1000,1000–1024 Dundas Street East,Dixie / Dundas,Under review,2026-08-18,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Receivership alone is not a basis to delete a proposal; record remains conditional.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1000-and-1024-dundas-street-east-oz-opa-22-18-w1/; https://insolvencyinsider.ca/p/morrison-financial-wins-receiver-appointment-over-mississauga-dundas-street-redevelopment-lands
dundas-mattawa,Dundas & Mattawa,Dixie / Dundas,Appealed,2025-11-13,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1580-to-1650-dundas-street-east-oz-opa-22-22-w1-and-tm-22004/; https://urbantoronto.ca/database/projects/dundas-mattawa.49819; https://www.hazelview.com/private-real-estate-investing/development-management/developments/1580-1650-dundas-street-east
dundas-1995,1995 Dundas Street East,Dixie / Dundas,Under review,2025-09-15,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1995-dundas-street-east-oz-opa-25-5-w3-and-21t-m-25-1-w3/; https://landealgroup.com/1995-dundas/
bloor-1785,1785 Bloor Street infill,Applewood / Rathwood,OPA and zoning approved; site-plan approval required,2026-08-18,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Sajecki Planning reports OPA and zoning approval in April 2024; the municipal active page still says under review. This does not establish a construction start.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1785-bloor-street-oz-opa-22-14-w3/; https://sajeckiplanning.squarespace.com/projects/1785-bloor-street-mississauga
connecting-cooksville,Connecting Cooksville,Cooksville,Appealed,2025-09-15,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/25-and-33-hillcrest-avenue-and-3146-3154-and-3168-hurontario-street-oz-opa-22-19-w7/; https://tasimpact.ca/project/connecting-cooksville/
hurontario-3085,3085 Hurontario Street,Cooksville,Under review,2025-09-15,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/3085-hurontario-street-oz-opa-21-11-w7/; https://urbantoronto.ca/forum/threads/toronto-3085-hurontario-street-131-9m-39s-mattamy-homes-3xn.32690/page-3
erin-mills-4099,4099 Erin Mills Parkway,Erin Mills,Under review,2026-06-08,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/4099-erin-mills-parkway-oz-opa-22-25-w8/; https://urbantoronto.ca/database/projects/4099-erin-mills-parkway.50506; https://www.mississauga.ca/wp-content/uploads/2024/11/27102717/site-plan-roof-plan-a005-november-2024-oz-opa-22-25-w8.pdf; https://www.mississauga.ca/wp-content/uploads/2024/11/27102719/statistics-a002-november-2024-oz-opa-22-25-w8.pdf
dundas-1225,1225 Dundas Street East,Dixie / Dundas,Under review,2026-08-13,,,{},Duplicate or superseded source geometry excluded; inspect replacement evidence,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Old 18-storey snapshot geometry is excluded as superseded until replaced from current 16-storey drawings.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1225-dundas-street-east-oz-opa-22-20-w3/; https://urbantoronto.ca/forum/threads/toronto-1225-dundas-street-east-65-62m-18s-smartcentres-turner-fleischer.34304/; https://www.mississauga.ca/wp-content/uploads/2025/09/03162624/Site-Plan-Roof-Plan-OZ-OPA-22-20-May-2026-1.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/03153037/Statistics-1-OZ-OPA-22-20-May-2026.pdf
hurontario-3115,3115 Hurontario / Dam residential tower,Cooksville,Under review,2026-03-25,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Floor-count convention excludes the mechanical penthouse from occupied-storey total; 133 m City massing is not proof of full latest architectural fidelity.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/3115-hurontario-street-oz-opa-22-24-w7/; https://urbantoronto.ca/database/projects/3115-hurontario-street.50337; https://www.mississauga.ca/wp-content/uploads/2026/03/25130055/Context-Plan-Project-Statistics-OZ-OPA-22-24-W7-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/03/25130050/Building-Elevations-North-East-OZ-OPA-22-24-W7-March-2026.pdf
beverley-5,5–9 Beverley Street,Malton,Under review,2025-09-15,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/5-7-and-9-beverley-street-oz-opa-22-27-w5/; https://urbantoronto.ca/forum/threads/toronto-5-9-beverley-street-12-3m-3s-arjun-kumar-cumulus.35099/
hurontario-6333,6333 Hurontario self-storage / commercial,Gateway / Heartland,Under review,2025-09-15,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/6333-hurontario-street-oz-21-1-w5/; https://urbantoronto.ca/database/projects/6333-hurontario.48166
goreway-7170,7170 Goreway Drive,Malton,Under review,2026-07-23,,,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/7170-goreway-drive-oz-18-13-w5/; https://urbantoronto.ca/forum/threads/toronto-7170-goreway-drive-12-8m-3s-2013512-ontario-inc-jardin-design-group.33774/
ninth-5034,5034–5080 Ninth Line,Churchill Meadows / Ninth Line,Under review,2025-09-15,,2029-07,{},Source geometry available; current detail may differ,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/5034-5054-5080-ninth-line-oz-opa-21-15-and-21t-m21004-w10/; https://urbantoronto.ca/database/projects/5034-5054-5080-ninth-line.48053; https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/
cooksville-toc,Cooksville GO transit-oriented community,Cooksville,"Proposed; revised concept presented September 22, 2026",2026-09-22,,,{},Current source-plan approximation; see project model caveat.,"Storeys and footprint arrangement are the current proposal. No current metre elevations or native DWG have been received. Vertical estimates use older phase-specific 3 m residential spacing and published maximums. Allow roughly ±5 m; this is an illustrative allowance, not survey confidence. Podiums, rooftop plant and facades are omitted. This is a future proposal, not approval or construction.",https://www.mississauga.ca/publication/toc-cooksville-3210-hurontario-street/; https://www.infrastructureontario.ca/en/what-we-do/projectssearch/cooksville-go-transit-oriented-community/; https://urbantoronto.ca/forum/threads/cooksville-toc-151-5m-49s-io-arup.42581/; https://www.infrastructureontario.ca/48f8a0/contentassets/e44b38c8189641c2aa193899c6727b3d/2025-09-25_cooksville-toc_planning-justification-report.pdf; https://www.infrastructureontario.ca/4ab5dd/globalassets/2025-10-30_cooksville_virtual-open-house_final_aoda.pdf; https://urbantoronto.ca/news/2025/10/3000-units-planned-8-towers-cooksville-go-and-lrt.59635; https://www.infrastructureontario.ca/4a7380/contentassets/48d409806ba14ffaa6f9874dcf14617e/cooksville_voh-presentation_sept-4-2026.pdf
john-69,69–117 John Street,Cooksville,Under review; live landing page unavailable,2026-09-20,,,{},Duplicate or superseded source geometry excluded; inspect replacement evidence,Existing City mesh matches old 63/93/96 m heights; latest revised massing requires comparison. Do not label snapshot as current. Live landing page returned 404 although indexed; PDF accessible.,https://www.mississauga.ca/wp-content/uploads/2025/09/19121446/Shadow-Study-Report-OZ-OPA-24-16-W7-October-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/19121510/Cover-Letter-OZ-OPA-24-16-OZ-OPA-24-16-W7-October-2025.pdf; https://urbantoronto.ca/news/2025/02/three-tower-proposal-would-add-density-near-cooksville-go-hurontario-lrt.57906
glen-erin-6719,6719–6749 Glen Erin Drive,Meadowvale,Approved planning framework; current delivery unverified,2026-09-20,,2029,{},Source geometry available; current detail may differ,"Funding wait-list dates are expectations, not confirmed groundbreaking or occupancy.",https://www.mississauga.ca/wp-content/uploads/2022/08/17092909/OZ-20-019-W9-OPA-149-Notice-of-Passing-Public-Notice.pdf; https://urbantoronto.ca/database/projects/6719-glen-erin-drive.48155; https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/
winston-6020,6020 Winston Churchill Boulevard,Meadowvale,Approved; construction reported 2026,2026-09-20,,Fall 2027,{},Source geometry available; current detail may differ,14.6 m City massing and 16.59 m UT overall height use different conventions; do not force an unsupported geometric correction.,https://www.mississauga.ca/wp-content/uploads/2023/06/OZ-22-007-OPA-158-Notice-of-Passing-Public-Notice.pdf; https://skyrisecities.com/forum/threads/toronto-6020-winston-churchill-boulevard-16-59m-4s-2421845-ontario-inc-john-willmott-architect.33768/; https://mpulse.ca/local-developer-builds-affordable-low-rise-housing-in-meadowvale/; https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/
brandon-3233,3233 Brandon Gate Drive,Malton,Holding provision removed December 2025,2026-09-20,,,{},Latest geometry unavailable in source model,Do not retain the superseded mixed-use building as a future tower.85 affordable rental units mentioned in funding material are not 85 separate townhouse buildings.,https://www.mississauga.ca/wp-content/uploads/2025/10/09161455/REVISED-HOZNOTICE-H-OZ-25-1-3233-Brandon-Gate-Dr.pdf; https://www.mississauga.ca/wp-content/uploads/2025/12/18084236/BL-0182-2025.pdf; https://urbantoronto.ca/news/2025/03/mississauga-invests-44m-affordable-rentals-across-eight-developments.58244
watergarden,Pinnacle Uptown / Watergarden / Gemma,Uptown,Gemma completed / move-in ready; remaining master-plan phases are separate,2026-09-26,"Move-in ready by September 26, 2026; exact completion date not published",,{},Current source-plan approximation; see project model caveat.,"Gemma tower and podium remain source massing, with approximate facade detail. The separate SP 22 99 south scheme at 10/30 Watergarden Drive and 220 Little Creek Road appears only as an uncertain future proposal; its completion is not established.",https://urbantoronto.ca/forum/threads/toronto-pinnacle-uptown-watergarden-137-52m-38s-pinnacle-richmond-architects.28710/page-2; https://www7.mississauga.ca/documents/Business/Planning_Justification_Report_-_June_2018_0_and_5044_Hurontario_St.pdf; https://pinnacleinternational.ca/communities/gemma/
mississauga-hospital,Peter Gilgan Mississauga Hospital / Shah Family Hospital,Cooksville / Queensway,Under construction,2026-09-20,,2033,{},Source geometry available; current detail may differ,"Hospital tower retained as future construction; completed garage belongs in existing context. City massing height 129.775 m is source geometry, not an independently verified maximum.",https://www.thp.ca/newsroom/Pages/2026/THP-marks-major-milestone-laying-the-foundation-at-Mississauga%E2%80%99s-future-hospital.aspx; https://urbantoronto.ca/news/2026/04/cranes-foundations-underway-peter-gilgan-mississauga-hospital.60708; https://www.thp.ca/AR2025/A/documents/Trillium-Health-Partners-2025.pdf; https://trilliumhealthworks.ca/new-mississauga-hospital.html
agnes-65,65–73 Agnes Street,Cooksville,Site plan under review; revised scheme,2026-09-20,,2030-02,{},Duplicate or superseded source geometry excluded; inspect replacement evidence,"The older City mesh is based on a 29-storey proposal, with a 90.3 m field matching the old level-29 elevation. Exclude that superseded geometry until the 24-storey plan is reconstructed; expected construction dates do not prove work has begun.",https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D133&outFields=*&outSR=4326&f=pjson; https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=82887; https://www.mississauga.ca/wp-content/uploads/2022/09/29114811/W7_65-71_Architectural_Plans_April_2022.pdf; https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/; https://urbantoronto.ca/database/projects/six-five-agnes.49583; https://www.intentionalcapital.com/projects/six-five-agnes; https://bousfields.ca/project/65-agnes-street/
orchard-189,The Orchard District / 189 Dundas Street West,Cooksville,OLT-approved revised scheme; site plan pending,2026-09-20,,,{},Duplicate or superseded source geometry excluded; inspect replacement evidence,City snapshot names the site 149 Dundas West (SP 22-162) and retains the former 32-storey tower. Even the June 2026 pipeline description repeats 18/20/32 storeys and 966 homes. The later binding order controls; exclude superseded snapshot geometry.,https://www.omb.gov.on.ca/e-decisions/OLT-22-004125-JAN-19-2024.PDF; https://www.mississauga.ca/wp-content/uploads/2024/08/14083711/mississauga-official-plan-amendment-mopa-168.pdf; https://urbantoronto.ca/forum/threads/toronto-the-orchard-district-m-25s-gala-bdp-quadrangle.28351/page-2; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D211&outFields=*&outSR=4326&f=pjson
tomken-4094,4094 Tomken / 924 Rathburn,Rathwood,Zoning approved; preconstruction,2026-09-20,,2029-12,{},Source geometry available; current detail may differ,Use the source massing conditionally. Do not call it under construction based on the developer timeline; detailed site-plan revisions and a one-unit count discrepancy remain.,https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D130&outFields=*&outSR=4326&f=pjson; https://www.kindredworks.ca/projects/4094-tomken-road; https://chrisfonseca.ca/4094tomken/; https://urbantoronto.ca/forum/threads/toronto-4094-tomken-road-43-8m-12s-kindred-works-kpmb.34940/; https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/
st-luke-westminster,St Luke’s seniors housing / 4150 Westminster Place,Rathwood,Site plan under review; construction start unverified,2026-09-20,,2028-06,{},Source geometry available; current detail may differ,Expected dates are not a confirmed start. Preserve the existing residence and add only the proposed infill geometry.,https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D122&outFields=*&outSR=4326&f=pjson; https://chrisfonseca.ca/wp-content/uploads/2024/11/OZ-OPA-24-10-W3-4150-Westminster-Place-0476-2024-0476-2024.pdf; https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/
lolita-596,596 Lolita Gardens,Mississauga Valley,Under construction; topping out reported,2026-09-20,,,{},Source geometry available; current detail may differ,"Do not treat topping out as occupancy. City massing is the proposal source, with final architectural detail unverified.",https://urbantoronto.ca/database/projects/596-lolita-gardens.48021; https://everworthrentals.com/wp-content/uploads/2024/04/1710370758408_596_Lolita_Gardens_Newsletter__4_-_12_March_2024.pdf; https://ca.linkedin.com/company/park-property-management-inc/; https://www.parkproperty.ca/apartments/apartments-for-rent
agnes-45,45 Agnes Street / 3051 Cook Street,Cooksville,Retained proposal; current construction stage unverified,2026-09-20,,,{},Source geometry available; current detail may differ,Old age is not cancellation. Storey-count differences in photo captions are not sufficient to revise geometry. Site-plan identity SP 21-102 links the City model to the site.,https://urbantoronto.ca/forum/threads/toronto-45-agnes-street-92-05m-28s-jd-development-group-tregebov-cogan.5105/page-5; https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=45903; https://www.flickr.com/photos/drum118/55303100913
kirwin-3016,3016–3034 Kirwin Avenue / Little John Lane,Cooksville,Application retained in June 2026 pipeline,2026-09-20,,,{},Source geometry available; current detail may differ,Address changes do not imply a new project. Exact OZ 21-5 identity matches the City mesh; detailed architectural currency remains unverified.,https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D144&outFields=*&outSR=4326&f=pjson; https://peelregion.ca/sites/default/files/2024-10/kirwin-ave-EA-appendix-K-contact-list-project-notifications.pdf
argyle-2570,2570–2590 Argyle Road,Cooksville / Erindale,Site plan under review,2026-09-20,,,{},Source geometry available; current detail may differ,No floor count is inferred from the mesh height. Existing apartment buildings must remain in the base model.,https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D112&outFields=*&outSR=4326&f=pjson; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/LOD2_Buildings_Scene/SceneServer; https://urbantoronto.ca/forum/threads/toronto-2570-2590-argyle-road-46-7m-15s-ranee-management-ibi-group.31776/
courtney-630,630–670 Courtney Valley Road,East Credit,Site-plan application retained in June 2026 pipeline,2026-09-20,,,{},Source geometry available; current detail may differ,Age alone is not cancellation. The 2013 application description may not capture subsequent detailed changes; retain only as source massing with unverified delivery.,https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D67&outFields=*&outSR=4326&f=pjson; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/LOD2_Buildings_Scene/SceneServer; https://www7.mississauga.ca/documents/agendas/committees/pdc/2015/10-05-2015_PDC_Agenda.pdf
absolute-world,Absolute World / Marilyn Monroe Towers,downtown,Completed,2012,2012,,{},source-derived distinct56/50-floor tower forms; interpolated south rotation and illustrative facade detail,"This is a source-derived architectural visualization, not a certified as-built model. Exact intermediate south floor rotations are not available in the primary drawings: smooth bounded1–8-degree increments interpolate the verified floor 1/24/40 anchors and209-degree total. South plan scaled by the City captured maximum silhouette diameter; north fits the documented elliptical plate to captured roof samples. These are measured source fits, not dimensioned construction drawings. Tower centres retain City captured polygon centroids. Estimated model-registration tolerance±2m, plan scale/profile tolerance±2m; these are modelling allowances, not surveyed confidence intervals. Nominal architectural heights follow current CTBUH; City captured height extents differ by3.66m/4.21m. Ground datum is retained from City and its absolute vertical accuracy is unverified. Typical floor elevations and roof-zone subdivisions are inferred from published highest-occupied/top heights; they are not a complete elevation schedule. Balcony slab thickness0.20m, guard height1m and glazing setbacks are illustrative, as are material appearance and mullion detail. South mechanical roof uses the unchanged City plan outline, with its vertical placement reconstructed; north exact roof machinery is omitted.",https://www.i-mad.com/projects/absolute-towers; https://misfitsarchitecture.com/wp-content/uploads/2021/10/5-case-study-absolute-world-towers-mississauga.pdf; https://www.skyscrapercenter.com/building/absolute-world-building-d/2939; https://www.skyscrapercenter.com/building/wd/3918; https://archdwg.ca/absolute-world/
